Voltage,Line type,Nominal current,Circuits,Total rating,Length
220,Al/St 240/40 2-bundle 220.0,1.290,1,492,52897
220,Al/St 240/40 2-bundle 220.0,1.290,2,983,22719
220,Al/St 240/40 2-bundle 220.0,1.290,3,1475,524
220,Al/St 240/40 2-bundle 220.0,1.290,4,1966,37
225,Al/St 240/40 2-bundle 220.0,1.290,1,503,19355
225,Al/St 240/40 2-bundle 220.0,1.290,2,1005,4465
236,Al/St 240/40 2-bundle 220.0,1.290,1,527,19
275,Al/St 240/40 3-bundle 300.0,1.935,1,922,1097
275,Al/St 240/40 3-bundle 300.0,1.935,2,1843,2845
300,Al/St 240/40 3-bundle 300.0,1.935,1,1005,4127
300,Al/St 240/40 3-bundle 300.0,1.935,2,2011,20
330,Al/St 240/40 3-bundle 300.0,1.935,1,1106,17335
330,Al/St 240/40 3-bundle 300.0,1.935,2,2212,1115
380,Al/St 240/40 4-bundle 380.0,2.580,1,1698,13971
380,Al/St 240/40 4-bundle 380.0,2.580,2,3396,13989
380,Al/St 240/40 4-bundle 380.0,2.580,3,5094,362
380,Al/St 240/40 4-bundle 380.0,2.580,4,6792,259
400,Al/St 240/40 4-bundle 380.0,2.580,1,1787,56750
400,Al/St 240/40 4-bundle 380.0,2.580,2,3575,30977
400,Al/St 240/40 4-bundle 380.0,2.580,4,7150,84
412,Al/St 240/40 4-bundle 380.0,2.580,1,1841,32
420,Al/St 240/40 4-bundle 380.0,2.580,1,1877,4839
420,Al/St 240/40 4-bundle 380.0,2.580,3,5631,11
500,Al/St 240/40 4-bundle 380.0,2.580,1,2234,248
750,Al/St 560/50 4-bundle 750.0,4.160,1,5404,4148
